Event Number,Occurred/Discovered Date and Time,Occurred Date,Day,Month,Year,Day_of_Week_Name,Day_of_Week_Num,Week_in_Year,Weekend,Latitude,Longitude,Nearest Populated Centre,Province,Population Density,Incident Types,Company,Significant,Product Category,Product Type,Volume Released,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Pipeline or facility equipment involved,Rupture,Pipe body release,Residual effects on the environment,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Kilometre post,Emergency Level,Equipment or component involved,Nominal pipe size,Material,Licensed maximum operating pressure (kPa),Year of installation,Year when put into service,Repair type,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program,STATION_NAME,DISTANCE_WEATHER_STATION_KM,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
INC2013-120,2013-08-04 8:30,2013-08-04,4.0,8.0,2013.0,Sunday,1.0,32.0,1.0,51.865344,-109.026045,Kerrobert,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Gas,Natural Gas Liquids,0.0001,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI - Kerrobert Terminal,,,,Level I,"Station/Facility, Metering, Delivering, Flange, Gasket/O-ring",,,,,,,No,,,No,No,,,No,MACKLIN,52.16012766870317,4044850,17.5,,11,,24,,4.9,,4.9,,0,,0,,,,,,0,,0.5,,,,,
INC2013-124,2013-08-17 11:55,2013-08-17,17.0,8.0,2013.0,Saturday,7.0,33.0,1.0,45.27405,-66.02748,Not specified,New Brunswick,Unknown Population Density (Historical Data Migration),Release of Substance,Maritimes & Northeast Pipeline Management Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Mainline Valve + Offset (km) 009,Level I,"Pipeline, Fitting, Plug, Thread",,,,,,,No,,,No,No,,,No,OAK POINT,3.8508904819498153,8103780,19.3,,14.1,,24.5,,0,,0,,0,,0,,,,,,1.3,,0,,,,,
INC2013-131,2013-09-12 11:00,2013-09-12,12.0,9.0,2013.0,Thursday,5.0,37.0,0.0,54.09296,-116.62308,Edson,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,NGTL - Kaybob South #3 Meter Station,,,,Level I,,,,,,,,No,,,No,No,,,No,SIMONETTE,56.41307152931285,3075937,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2013-133,2013-09-13 12:00,2013-09-13,13.0,9.0,2013.0,Friday,6.0,37.0,0.0,54.08577,-116.64156,Not specified,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Station/Facility, Metering, Delivering, Fitting",,,,,,,No,,,No,No,,,No,SIMONETTE,55.53647700777102,3075937,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2013-136,2013-09-22 2:00,2013-09-22,22.0,9.0,2013.0,Sunday,1.0,39.0,1.0,52.930153,-112.073468,Strome,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Gas,Natural Gas Liquids,,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Improper extension of service life;Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI - Strome Pump Station,,,,Level I,,,,,,,,No,,,No,No,,,No,HOLDEN SOUTH,14.548180524941486,3013C44,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,
INC2013-137,2013-09-23 5:10,2013-09-23,23.0,9.0,2013.0,Monday,2.0,39.0,0.0,58.6535,-122.68519,Fort Nelson,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,Gas,Natural Gas - Sweet,,"Substandard Conditions, Defective tools, equipment or materials",External Interference,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,,Yes,No,No,Yes,WEI - Fort Nelson Gas Plant,,,Mile Post 285,Level I,"Processing Plant, Cooling",,,,,,,No,,,No,No,,,No,FORT NELSON A,25.63993657957105,1192946,5,,1.8,,8.2,,8.8,,8.8,,0,,,,0,,0,,0,,13,,,,,
INC2013-139,2013-09-26 10:30,2013-09-26,26.0,9.0,2013.0,Thursday,5.0,39.0,0.0,55.26619,-114.60103,Slave Lake,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Structural Degradation, Corrosion Fatigue;Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments","Corrosion and Cracking, Defect and Deterioration","Job or system factors, Inadequate engineering, Inadequate monitoring of initial operation;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Engineering and Planning, Maintenance",Maintenance,Employee / Contractor (Onsite),Yes,No,No,No,,,,NE30724W5M,Level II,,,,,,,,No,,,No,No,,,No,SLAVE LAKE RCS,13.518892911304109,3065997,6.3,,1.6,,11,,0.2,,,M,,M,,,0,,0,,0,,11.7,,56,,94,
INC2013-141,2013-09-26 12:00,2013-09-26,26.0,9.0,2013.0,Thursday,5.0,39.0,0.0,53.97323,-112.22835,Smokey Lake,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material Loss, External Material Loss",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,Landowner,Yes,No,No,No,,,,,Level II,,,,,,,,No,,,No,No,,,No,ANDREW,7.094330889353582,3010234,6,,-2,,14,,0,,0,,0,,,M,,,,,0,,12,,,,,
INC2013-142,2013-10-06 9:00,2013-10-06,6.0,10.0,2013.0,Sunday,1.0,41.0,1.0,55.26395,-114.601007,Slave Lake,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material Loss, External Material Loss",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,,,,,,,,No,,,No,No,,,No,SLAVE LAKE RCS,13.32872030670827,3065997,7.8,,4.1,,11.4,,0.2,,,M,,M,,,26,,41,,0,,10.2,,67,,90,
INC2013-146,2013-10-17 4:30,2013-10-17,17.0,10.0,2013.0,Thursday,5.0,42.0,0.0,56.514327,-113.679868,Fort McMurray,Alberta,10 or fewer dwelling units,Release of Substance,NOVA Gas Transmission Ltd.,Yes,Gas,Natural Gas - Sweet,16500000.0,"Damage or deterioration mechanism, Structural Degradation, Overheating",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate engineering, Inadequate assessment of operational readiness;Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate communications, Inadequate communication between work groups ","Engineering and Planning, Failure in communication",Operation,Employee / Contractor (Onsite),Yes,Yes,Yes,No,NORTH CENTRAL CORRIDOR LOOP (BUFFALO CREEK WEST SECTION) - NPS 36,914,53.55816421,Legal Subdivision SE-01-87-24-W4M,Level II,"Pipeline, Pipe, Body",NPS 36,Carbon Steel,9930.0,2009.0,2009.0,,Yes,,,No,Yes,,,No,RED EARTH,93.83899606310199,3075488,5,,-2.7,,12.6,,0,,,M,,M,,,0,,0,,0,,13,,39,,90,
INC2013-148,2013-10-20 2:30,2013-10-20,20.0,10.0,2013.0,Sunday,1.0,43.0,1.0,52.3882,-112.2162,Gadsby,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments",Corrosion and Cracking,"Personal factors, Lack of skill, Inadequate practice;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Human Factors, Maintenance",Maintenance,Employee / Contractor (Onsite),Yes,No,Yes,No,,,,Legal Subdivision NE-27-39-16-W4M,Level I,,,,,,,,No,,,No,No,,,No,DONALDA SOUTH,8.71059588174325,3012095,5.3,,-3,,13.5,,0,,0,,0,,0,,,,,,0,,12.7,,,,,
INC2013-150,2013-10-23 11:00,2013-10-23,23.0,10.0,2013.0,Wednesday,4.0,43.0,0.0,50.676806,-109.929667,Burstall,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Hydrogen-induced Cracking",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,Operation,3rd Party / Other Company,Yes,No,Yes,No,Line 100-4,1066.8,1422.828067,Mainline Valve + Offset (km) 2+3.3 km,Level I,"Pipeline, Pipe, Girth weld",NPS 42,Stainless Steel,6065.0,197.0,,Replacement,No,,,No,No,,,No,SOCIAL PLAINS AGCM,30.209265457647444,3036040,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2013-152,2013-10-29 10:00,2013-10-29,29.0,10.0,2013.0,Tuesday,3.0,44.0,0.0,45.273315,-66.063308,Saint John,New Brunswick,46 or more dwelling units,Release of Substance,Maritimes & Northeast Pipeline Management Ltd.,No,Gas,Natural Gas - Sweet,5.7,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Mainline,"762.00000000, 863.60000000",574.8807991,,Level I,"Station/Facility, Metering, Delivering, Valve",NPS 1/2,,0.0,,,,No,,,No,No,,,No,OAK POINT,3.3008781466148385,8103780,1.8,,-3,,6.5,,0,,0,,0,,0,,,,,,0,,16.2,,,,,
INC2013-154,2013-11-02 10:00,2013-11-02,2.0,11.0,2013.0,Saturday,7.0,44.0,1.0,49.82512,-93.627265,Vermilion Bay,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,Employee / Contractor (Onsite),No,No,No,No,TCPL - Station 52 (Vermillion Bay Compressor Stn),,,,Level I,,,,,,,,No,,,No,No,,,No,RAWSON LAKE (AUT),49.78905846050143,6036907,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2013-155,2013-11-16 4:30,2013-11-16,16.0,11.0,2013.0,Saturday,7.0,46.0,1.0,45.273315,-66.063308,Saint John,New Brunswick,46 or more dwelling units,Release of Substance,Maritimes & Northeast Pipeline Management Ltd.,No,Gas,Natural Gas - Sweet,500.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Scheduling of work",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Station/Facility, Compression, Valve",,,0.0,,,,No,,,No,No,,,No,OAK POINT,3.3008781466148385,8103780,2.7,,-2.2,,7.5,,0,,0,,0,,0,,,,,,0,,15.3,,,,,
INC2013-157,2013-11-19 12:00,2013-11-19,19.0,11.0,2013.0,Tuesday,3.0,47.0,0.0,58.653246,-122.684823,Fort Nelson,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,Gas,Natural Gas - Sweet,0.0001,"Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)",Equipment Failure,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,,Yes,No,No,No,WEI - Fort Nelson Gas Plant,,,,Level I,"Processing Plant, Dehydration",,,,,,,No,,,No,No,,,No,FORT NELSON A,25.605256402075398,1192946,-27.9,,-31.8,,-24,,0,T,0,T,0,,16,,0,,0,,0,,45.9,,,,,
INC2013-160,2013-11-23 6:00,2013-11-23,23.0,11.0,2013.0,Saturday,7.0,47.0,1.0,58.653246,-122.684823,Fort Nelson,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Yes,Gas,Natural Gas - Sour,,"Damage or deterioration mechanism, Material Loss, Internal Material Loss",Corrosion and Cracking,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,,Yes,No,No,No,WEI - Fort Nelson Gas Plant,,,,Level I,,,,,,,,No,,,No,No,,,No,FORT NELSON A,25.605256402075398,1192946,-15.3,,-19.7,,-10.9,,0,T,0,,0,T,17,,0,,0,,0,,33.3,,,,,
INC2013-161,2013-11-25 11:40,2013-11-25,25.0,11.0,2013.0,Monday,2.0,48.0,0.0,53.307156,-113.511011,Edmonton,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Crude Oil - Sweet,2.25,"Substandard Acts, Failure to secure;Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Personal factors, Lack of skill, Inadequate practice;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Standards and Procedures",Operation,Employee / Contractor (Onsite),Yes,No,Yes,No,Edmonton Terminal,,,Legal Subdivision,Level I,,,,,,,,No,,,No,No,,,No,EDMONTON WOODBEND,7.551453374430571,3012230,-6,,-9.5,,-2.5,,0,,0,,0,,25,,,,,,0,,24,,,,,
INC2013-162,2013-11-26 11:24,2013-11-26,26.0,11.0,2013.0,Tuesday,3.0,48.0,0.0,54.50936,-112.64735,Boyle,Alberta,10 or fewer dwelling units,Release of Substance,NOVA Gas Transmission Ltd.,Yes,Gas,Natural Gas - Sweet,4300000.0,"Damage or deterioration mechanism, Material Loss, External Material Loss",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,Employee / Contractor (Onsite),Yes,Yes,No,No,FLAT LAKE LATERAL LOOP - NPS 16,406.4,53.31541245,,Level II,"Pipeline, Pipe, Body",NPS 16,Carbon Steel,8453.0,1976.0,1976.0,,Yes,,,No,Yes,,,No,ATMORE AGDM,11.135772321762515,3060406,-11.6,,-19.4,,-3.8,,0,,,M,,M,8,,0,,0,,0,,29.6,,75,,95,
INC2013-164,2013-12-01 9:50,2013-12-01,1.0,12.0,2013.0,Sunday,1.0,49.0,1.0,53.544543,-113.360195,Sherwood Park,Alberta,11 to 45 dwelling units,Release of Substance,Trans Mountain Pipeline ULC,Yes,Liquid,Crude Oil - Sweet,12.0,"Substandard Conditions, Inadequate information or data",External Interference,"Personal factors, Lack of knowledge, Inadequate initial training;Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ;Job or system factors, Inadequate communications, Inadequate communication between different organizations;Job or system factors, Inadequate communications, Inadequate communication due to job turnover;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Engineering and Planning, Failure in communication, Human Factors, Standards and Procedures",Construction,Employee / Contractor (Onsite),Yes,No,No,Yes,,,,,Level I,"Storage, Tank, Aboveground",,,,,,,No,,,No,No,,,No,BUSBY,12.682801022617825,3010978,-10,,-17,,-3,,9,,0,,9,,19,,,,,,0,,28,,,,,
INC2013-168,2013-12-05 1:00,2013-12-05,5.0,12.0,2013.0,Thursday,5.0,49.0,0.0,49.7951,-92.762674,Dryden,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,0.017,"Damage or deterioration mechanism, Cracking, Fatigue;Substandard Acts, Servicing equipment in operation","Corrosion and Cracking, Incorrect Operation","Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Dryden Comprssor Station #55,,,,Level I,"Station/Facility, Compression, Valve",,Stainless Steel,,,,,No,,,No,No,,Replacement,No,DRYDEN REGIONAL,40.64851741888567,6032125,,M,-13.8,E,,M,0.8,,,M,,M,,,29,,44,,,M,,M,,,,
INC2013-169,2013-12-09 11:00,2013-12-09,9.0,12.0,2013.0,Monday,2.0,50.0,0.0,46.112702,-64.714397,Moncton,New Brunswick,Unknown Population Density (Historical Data Migration),Release of Substance,Maritimes & Northeast Pipeline Management Ltd.,No,Gas,Natural Gas - Sweet,0.3,"Damage or deterioration mechanism, Equipment",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Moncton lateral,219.1,12.44337836,,Level I,"Pipeline, Valve, Pressure relief, Other (please explain)",,,,,,Rebuilt,No,,,No,No,,Repair,No,TURTLE CREEK,18.413592295952373,8105520,,,,,,,2,,0,,2,,,M,,,,,,,,,,,,
INC2013-170,2013-12-11 7:30,2013-12-11,11.0,12.0,2013.0,Wednesday,4.0,50.0,0.0,45.182385,-61.652361,Goldboro,Nova Scotia,Unknown Population Density (Historical Data Migration),Release of Substance,Maritimes & Northeast Pipeline Management Ltd.,No,Gas,Natural Gas - Sweet,2000.0,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,Mainline,"762.00000000, 863.60000000",574.8807991,,Level I,"Station/Facility, Metering, Delivering, Valve",NPS 1/2,,4600.0,,,,No,,,No,No,,,No,TRACADIE,27.940147257781614,8205895,-6.3,,-9.4,,-3.2,,0.8,,,M,,M,,,26,,54,,0,,24.3,,,,,
INC2013-175,2013-12-15 4:15,2013-12-15,15.0,12.0,2013.0,Sunday,1.0,51.0,1.0,49.28487,-115.17704,Elko,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,Foothills Pipe Lines Ltd.,No,Gas,Natural Gas - Sweet,1500.0,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Excessive wear and tear, Improper loading or rate of use","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),Yes,No,No,No,"Foothills - Elko, BC Compressor Station",,,Kilometer Post 75.4,Level I,"Station/Facility, Compression, Piping, Body",NPS 1,Carbon Steel,,,,,No,,,No,No,,,No,WARDNER KTNY HATCHERY,7.0185393686169695,1158692,4.3,,-1.5,,10,,0,,0,,0,,0,,,,,,0,,13.7,,,,,
INC2014-004,2014-01-06 12:00,2014-01-06,6.0,1.0,2014.0,Monday,2.0,2.0,0.0,55.569092,-121.944662,Chetwynd,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Yes,Miscellaneous,Hydrogen Sulphide,0.3,"Damage or deterioration mechanism, Material Loss, Internal Material Loss",Corrosion and Cracking,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,,Yes,No,Yes,No,,,,,Level I,,,,,,,,No,,,No,No,,,No,CHETWYND A,40.14039810900219,1181508,-7.5,,-16,,1,,0,,0,,0,,30,,,,,,0,,25.5,,,,,
INC2014-003,2014-01-08 2:00,2014-01-08,8.0,1.0,2014.0,Wednesday,4.0,2.0,0.0,46.112702,-64.714397,Moncton,New Brunswick,Unknown Population Density (Historical Data Migration),Release of Substance,Maritimes & Northeast Pipeline Management Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,MNE - Moncton Pressure Regulating Station,,,,Level I,"Station/Facility, Metering, Delivering, Valve, Pressure relief, Seat",,,0.0,,,,No,,,No,No,,,No,TURTLE CREEK,18.413592295952373,8105520,,,,,,,0,,0,,0,,,M,,,,,,,,,,,,
INC2014-007,2014-01-11 12:01,2014-01-11,11.0,1.0,2014.0,Saturday,7.0,2.0,1.0,55.793058,-120.52672,Dawson Creek,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,Gas,Propane,1.78,"Substandard Acts, Improper loading;Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ",Standards and Procedures,Operation,,Yes,No,No,No,WEI - Dawson Creek Gas Plant,,,,Level I,Vehicle / mobile equipment,,,,,,,No,,,No,No,,,No,TAYLOR FLATS,34.923883606189065,1188020,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,
INC2014-006,2014-01-11 12:15,2014-01-11,11.0,1.0,2014.0,Saturday,7.0,2.0,1.0,49.716512,-96.976655,Ile des Ch�nes,Manitoba,Unknown Population Density (Historical Data Migration),"Fire, Release of Substance",TransCanada PipeLines Limited,No,Liquid,Lube Oil,2.0,"Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,Operation,Employee / Contractor (Onsite),No,No,No,No,TCPL - Station 41 (Ile des Chenes Compressor Stn),,,,Level I,,,,,,,,No,,,No,No,,,No,WINNIPEG THE FORKS,21.72865519650135,5023262,-7.1,,-9.5,,-4.7,,0.2,,,M,,M,,,0,,0,,0,,25.1,,,,,
INC2014-008,2014-01-12 12:00,2014-01-12,12.0,1.0,2014.0,Sunday,1.0,3.0,1.0,51.911918,-113.664358,Bowden,Alberta,10 or fewer dwelling units,Release of Substance,NOVA Gas Transmission Ltd.,No,Gas,Natural Gas - Sweet,1.0,"Substandard Conditions, Weather Related, Frozen components;Substandard Acts, Failure to check or monitor","External Interference, Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Pipeline, Valve, Ball, Body;Pipeline, Valve, Ball, Seat;Pipeline, Valve, Ball, Thread",NPS 24,,,,,Replacement,Yes,,,No,Yes,,,No,RED DEER A,23.215271064360913,3025480,-5.4,,-8.3,,-2.5,,0.8,,0,,1,,59,,0,,0,,0,,23.4,,70,,99,
INC2014-013,2014-01-15 3:40,2014-01-15,15.0,1.0,2014.0,Wednesday,4.0,3.0,0.0,58.653246,-122.684823,Fort Nelson,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,Gas,Natural Gas - Sweet,190.0,"Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Maintenance, Standards and Procedures",Operation,,Yes,No,No,No,WEI - Fort Nelson Gas Plant,,,,Level I,,,,,,,,No,,,No,No,,,No,FORT NELSON A,25.605256402075398,1192946,,M,-10.7,E,,M,,M,,M,,,,,,M,,M,,M,,M,,,,
INC2014-014,2014-01-16 8:33,2014-01-16,16.0,1.0,2014.0,Thursday,5.0,3.0,0.0,65.286034,-126.887048,Norman Wells,Northwest Territories,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines (NW) Inc.,No,Gas,Natural Gas - Sweet,0.0001,"Substandard Acts, Failure to check or monitor;Substandard Conditions, Inadequate ventilation","External Interference, Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,Maintenance,Employee / Contractor (Onsite),Yes,No,No,No,EPI (Norman Wells) (NWT),,,,Level I,"Station/Facility, Pumping, Flange",,,,,,,No,,,No,No,,,No,NORMAN WELLS A,23.490589595767613,2202801,-18,,-20.9,,-15.1,,4.8,,0.2,,5.4,,17,,28,,44,,0,,36,,,,,
INC2014-015,2014-01-16 12:00,2014-01-16,16.0,1.0,2014.0,Thursday,5.0,3.0,0.0,45.273315,-66.063308,Saint John,New Brunswick,Unknown Population Density (Historical Data Migration),Release of Substance,Maritimes & Northeast Pipeline Management Ltd.,No,Gas,Natural Gas - Sweet,2.0,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,MNE - St. John Lateral Pressure Regulating Station,,,,Level I,"Station/Facility, Metering, Delivering, Fitting",,,,,,,No,,,No,No,,,No,OAK POINT,3.3008781466148385,8103780,2.1,,0.6,,3.6,,2,,2,,0,,4,,,,,,0,,15.9,,,,,
INC2014-016,2014-01-18 12:00,2014-01-18,18.0,1.0,2014.0,Saturday,7.0,3.0,1.0,50.392646,-104.569717,Regina,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,Yes,Liquid,Crude Oil - Synthetic,20.0,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Improper extension of service life;Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI Clipper - Rowatt Pump Station,,,SW 33 16 19 W2M,Level II,"Station/Facility, Pumping, Piping",,,,,,,No,,,No,No,,,No,REGINA GILMOUR,7.6745814705159185,4016651,,,,,,,0,,0,,0,,16,,,,,,,,,,,,,
