Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Approximate Volume Released (m3),Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Land Use,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program
INC2014-151,Operation Beyond Design Limits,12/9/2014,Atmore,Alberta,NOVA Gas Transmission Ltd.,Closed,54.836647,Not Applicable,Not Applicable,Not Applicable,No,2014,2014/12/08 10:22:00 PM Mountain,2014/12/08 10:22:00 PM Mountain,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate warning system","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,NULL,NULL,Maintenance,NULL,9/28/2016,No,No,Operation Beyond Design Limits,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Over Pressure,NULL,0,OPR,ATMORE LATERAL - NPS 12,323.9,19.99927397,Natural Gas,NULL,NULL,NULL,NULL,Canada,Yes,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NULL,Level I,Standard Review - 168 days,No,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2014-153,Release of Substance,12/17/2014,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.482408,173.6,Crude Oil - Sweet,Liquid,No,2014,NULL,2014/12/16 10:42:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Excessive wear and tear, Inadequate planning of use;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution","Engineering and Planning, Inadequate Procurement, Maintenance",NULL,Transmission,Operation,3rd Party / Other Company,10/9/2015,Yes,No,Release of Substance,Crude Oil - Sweet,173.6,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Line 4,"1219.00000000, 864.00000000, 914.00000000",1248.909872,Crude Oil,NULL,Meter,NULL,NULL,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),MP 437,Level I,Standard Review - 168 days,Yes,REM-0336,"Station/Facility, Pumping, Valve",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,Yes,NULL,NULL,No,Yes,NULL,NULL,No
INC2014-155,Release of Substance,12/23/2014,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.79171,0.01,Natural Gas - Sweet,Gas,No,2014,2014/12/23 06:00:00 AM Eastern,2014/12/23 06:00:00 AM Eastern,"Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Inadequate Supervision, Maintenance",No pipeline interruption,NULL,Operation,Employee / Contractor (Onsite),12/5/2016,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,STN 49 - KENORA,NULL,49.79171203,-94.49432202,Canada,Yes,No,Yes,No,Unknown Land Use (Historical Data Migration),11 to 45 dwelling units,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,NULL,"Station/Facility, Compression, Auxiliary device(s) (please explain)",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2015-001,Release of Substance,1/9/2015,St.George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.2022834,1,Natural Gas - Sweet,Gas,No,2015,2015/01/08 05:30:00 PM Atlantic,2015/01/08 05:30:00 PM Atlantic,"Substandard Conditions, Weather Related, Frozen components;Substandard Conditions, Weather Related, Temperature Extremes",External Interference,"Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs",Standards and Procedures,No pipeline interruption,Transmission,Operation,Inspection Site Visit,2/21/2017,No,No,Release of Substance,Natural Gas - Sweet,1,Yes,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Saint John lateral,406.4,104.6217048,Natural Gas,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Forests,10 or fewer dwelling units,SJLT KP 40,Level I,Standard Review - 168 days,No,NULL,"Pipeline, Valve, Pressure relief, Seal/Packing",CSA Z662,NPS 1/2,Stainless Steel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,12/17/2014,Visual,Yes,No,12/12/2014,Testing of Functionality,Yes
INC2015-002,Operation Beyond Design Limits,1/9/2015,Bowmanville,Ontario,Trans-Northern Pipelines Inc.,Closed,43.94536,Not Applicable,Not Applicable,Not Applicable,No,2015,2015/01/09 01:30:00 PM Eastern,2015/01/09 01:30:00 PM Eastern,"Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Servicing equipment in operation;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate information or data","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Inadequate purchasing, Inadequate specifications to vendors;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications","Human Factors, Inadequate Procurement, Tools and Equipment",Short-term interruption,Transmission,Operation,Other Control System,1/10/2017,No,No,Operation Beyond Design Limits,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Over Pressure,NULL,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,NULL,Meter,NULL,NULL,Canada,Yes,No,Yes,No,Agricultural Cropland,10 or fewer dwelling units,471.54,Level I,Standard Review - 168 days,No,"INC2011-012, INC2011-129, INC2012-054, INC2013-101, INC2013-202, INC2013-203, INC2014-080, INC2014-123, INC2015-034, INC2016-008","Pipeline, Pipe, Body",ASAB31.1-1951,NPS 10,Carbon Steel,317 - X46,30,7.8 mm = 0.307 in,NULL,NULL,8274,6619,7509,NULL,NULL,NULL,1952,1952,NULL,NULL,Straight,Electric Resistance Welded,NULL,External,Polyethylene Tape Wrap,NULL,Plant Applied,NULL,No,NULL,NULL,No,1/7/2015,NULL,Yes,No,1/8/2015,Testing of Functionality,Yes
INC2015-006,Fire,1/16/2015,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5421,Not Applicable,Not Applicable,Not Applicable,No,2015,2015/01/14 12:50:00 PM Mountain,2015/01/14 12:50:00 PM Mountain,"Substandard Acts, Using equipment improperly;Substandard Conditions, Inadequate preparation or planning","External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Maintenance, Standards and Procedures",No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),4/20/2018,No,No,Fire,NULL,NULL,NULL,No,NULL,Welding or Cutting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,Valve,NULL,NULL,Canada,No,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,0,Level I,Standard Review - 168 days,No,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2015-010,Release of Substance,1/26/2015,"Mattice, Ontario",Ontario,TransCanada PipeLines Limited,Closed,49.58574,0.01,Natural Gas - Sweet,Gas,No,2015,NULL,2015/01/25 02:45:00 PM Mountain,"Damage or deterioration mechanism, Geotechnical Failure, Frost heave",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),5/1/2017,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NULL,NULL,NULL,NULL,STN 92 - MATTICE,NULL,49.58573804,-83.16673903,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,N/A,Level I,Standard Review - 168 days,No,NULL,"Station/Facility, Compression, Piping, Body",NULL,NPS 2,Carbon Steel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,1/23/2015,Visual,Yes,Yes,NULL,NULL,No
INC2015-013,Release of Substance,1/31/2015,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.719151,1,Fuel Gas,Gas,No,2015,2015/01/31 01:45:00 PM Atlantic,2015/01/31 01:45:00 PM Atlantic,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),1/19/2017,Yes,No,Release of Substance,Fuel Gas,1,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Halifax Lateral,323.9,126.1401343,Natural Gas,NULL,Meter,NULL,NULL,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,118,Level I,Standard Review - 168 days,No,NULL,"Station/Facility, Metering, Delivering, Valve, Pressure relief, Other (please explain)",CSA Z662-11,,NULL,NULL,NULL,NULL,NULL,NULL,3447,NULL,3240,NULL,NULL,NULL,2012,2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,12/18/2014,Visual,No,No,12/18/2014,Repair,No
INC2015-014,Operation Beyond Design Limits,2/4/2015,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54305555,Not Applicable,Not Applicable,Not Applicable,No,2015,2015/02/01 05:00:00 PM Mountain,2015/02/01 05:00:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction;Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to react or correct","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Unclear or conflicting assignment of responsibility;Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules;Job or system factors, Inadequate work standards, Inadequate communication of standards, Training","Inadequate Supervision, Standards and Procedures",No pipeline interruption,Transmission,Operation,SCADA,1/26/2017,Yes,No,Operation Beyond Design Limits,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Over Pressure,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Developed Land - Industrial,46 or more dwelling units,KP 0,Level I,Standard Review - 168 days,No,NULL,"Station/Facility, Pumping, Valve, Pressure relief, Other (please explain)",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,4/17/2014,Visual,Yes,Yes,NULL,NULL,No
INC2015-016,Release of Substance,2/8/2015,Boyle,Alberta,NOVA Gas Transmission Ltd.,Closed,54.524331,0.06,Natural Gas - Sweet,Gas,No,2015,NULL,2015/02/08 02:00:00 PM Mountain,"Damage or deterioration mechanism, Material Loss, External Material Loss",Corrosion and Cracking,"Job or system factors, Inadequate tools and equipment, Inadequate removal and replacement of unsuitable items;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Maintenance, Tools and Equipment",Short-term interruption,Transmission,Operation,Scheduled Patrol,5/10/2016,Yes,No,Release of Substance,Natural Gas - Sweet,0.06,Yes,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,FLAT LAKE LATERAL LOOP - NPS 16,406.4,53.31541245,Natural Gas,NULL,NULL,NULL,NULL,Canada,No,Yes,Yes,No,Shrub Land,10 or fewer dwelling units,N/A,Level I,Standard Review - 168 days,No,INC2013-162,"Pipeline, Pipe, Girth weld",CSA Z245.1,NPS 16,Carbon Steel,359 - X52,NULL,6.0 mm = 0.237 in,NULL,NULL,8453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Girth (Circumferential),Straight,Electric Resistance Welded,NULL,External,Polyethylene Tape Wrap,Disbonded,Field Applied,1976,No,Replacement,2/10/2015,No,2/28/2015,Inline Inspection (ILI),No,Yes,NULL,NULL,No
INC2015-018,Release of Substance,2/15/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.1447,70,Water,Miscellaneous,No,2015,2015/02/13 12:00:00 AM Mountain,2015/02/13 10:00:00 AM Mountain,"Substandard Conditions, Weather Related, High winds;Substandard Acts, Improper placement","External Interference, Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate development of standards, Coordination with process design",Standards and Procedures,No pipeline interruption,Processing,Operation,Employee / Contractor (Onsite),10/17/2016,No,No,Release of Substance,Water,70,No,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,PPR,"12"" Milligan-Peejay Pipeline",323.9,50.94683691,Natural Gas Sour,NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Vegetative Barren,10 or fewer dwelling units,51.79,Level I,Standard Review - 168 days,No,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2015-035,Operation Beyond Design Limits,4/2/2015,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.544257,Not Applicable,Not Applicable,Not Applicable,No,2015,2015/04/02 11:14:00 AM Mountain,2015/04/02 11:14:00 AM Mountain,"Substandard Conditions, Inadequate information or data",External Interference,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,No pipeline interruption,Transmission,Operation,SCADA,2/20/2017,Yes,No,Operation Beyond Design Limits,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Over Pressure,NULL,0,OPR,NULL,NULL,NULL,NULL,Edmonton,NULL,NULL,NULL,Canada,Yes,No,No,No,Developed Land - Industrial,46 or more dwelling units,0,Level I,Standard Review - 168 days,No,NULL,"Station/Facility, Pumping, Piping, Body",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2015-020,Release of Substance,2/26/2015,Goldboro,Nova Scotia,ExxonMobil Canada Properties,Closed,45.17170605,396,Natural Gas - Sweet,Gas,No,2015,2015/02/24 07:20:00 PM Atlantic,2015/02/24 07:20:00 PM Atlantic,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly","Inadequate Supervision, Maintenance",No pipeline interruption,NULL,Operation,Scheduled Patrol,2/7/2017,Yes,No,Release of Substance,Natural Gas - Sweet,396,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,PPR,Sable Offshore Energy Project,"1362.40000000, 219.10000000, 304.80000000, 457.20000000, 660.00000000",416.613585,Natural Gas,GOLDBORO GAS PLANT,NULL,45.17170605,-61.61267605,Canada,Yes,No,No,No,Shrub Land,10 or fewer dwelling units,NULL,Level I,Standard Review - 168 days,No,NULL,"Processing Plant, Cooling",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,9/19/2014,Visual,Yes,No,1/27/2013,Repair,No
INC2015-021,Release of Substance,2/28/2015,Grand Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.0045,0.1,Natural Gas - Sweet,Gas,No,2015,2015/02/27 05:50:00 PM Mountain,2015/02/27 05:50:00 PM Mountain,"Damage or deterioration mechanism, Material Loss, External Material Loss;Damage or deterioration mechanism, External Interference, Unknown","Corrosion and Cracking, External Interference","Personal factors, Physical or physiological stress, Oxygen deficiency;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks","Human Factors, Tools and Equipment",Short-term interruption,Transmission,Maintenance,Employee / Contractor (Onsite),11/1/2018,Yes,No,Release of Substance,Natural Gas - Sweet,0.1,Yes,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,GRANDE PRAIRIE MAINLINE LOOP,"1067.00000000, 610.00000000, 762.00000000, 914.00000000",368.2235257,"Natural Gas, Natural Gas Sweet",NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,N/A,Level I,Standard Review - 168 days,No,NULL,"Pipeline, Pipe, Body",1981,NPS 24,Carbon Steel,483 - X70,NULL,6.6 mm = 0.258 in,0,6.8,7584,NULL,5725,1.2,0,1981,1981,1981,-1257,NULL,Spiral,NULL,NULL,External,Polyethylene Tape Wrap,Disbonded,Field Applied,1981,No,Removal,NULL,No,2/18/2015,Inline Inspection (ILI),Yes,No,2/27/2015,Repair,Yes
INC2015-022,Explosion,3/2/2015,"Milden, Saskatchewan",Saskatchewan,Enbridge Pipelines Inc.,Closed,51.446646,Not Applicable,Not Applicable,Not Applicable,No,2015,2015/02/27 04:00:00 PM Central,2015/02/27 04:00:00 PM Mountain,"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Defective tools, equipment or materials",External Interference,"Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,Short-term interruption,Transmission,Operation,Employee / Contractor (Onsite),2/3/2016,Yes,No,"Explosion, Interruption of Pipeline Operations",NULL,NULL,NULL,No,Equipment & Electrical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Line 4,"1219.00000000, 864.00000000, 914.00000000",1248.909872,Crude Oil,NULL,Meter,NULL,NULL,Canada,Yes,No,No,No,Agricultural Cropland,10 or fewer dwelling units,KP 475,Level I,Standard Review - 168 days,No,"INC2012-174, INC2015-022, INC2015-097, INC2016-003, INC2016-122, INC2017-006","Station/Facility, Pumping, Auxiliary device(s) (please explain)",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,Yes,NULL,NULL,No,Yes,NULL,NULL,No
INC2015-023,Release of Substance,3/3/2015,Glenboro,Manitoba,Enbridge Pipelines Inc.,Closed,49.539039,0.015,Natural Gas Liquids,Gas,No,2015,2015/03/03 09:14:00 AM Mountain,2015/03/03 09:14:00 AM Mountain,"Substandard Acts, Failure to communicate or coordinate;Substandard Conditions, Inadequate warning system;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Inadequate communications, Inadequate communication between work groups ;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Engineering and Planning, Failure in communication, Standards and Procedures",Short-term interruption,Transmission,Maintenance,Employee / Contractor (Onsite),11/17/2016,No,No,Release of Substance,Natural Gas Liquids,0.015,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,Line 1,"508.00000000, 864.00000000",1255.999121,Crude Oil,NULL,Meter,NULL,NULL,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,NULL,Level I,Standard Review - 168 days,No,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2015-024,Fire,3/4/2015,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.49245275,Not Applicable,Not Applicable,Not Applicable,No,2015,2015/03/04 09:30:00 AM Mountain,2015/03/04 09:30:00 AM Mountain,"Substandard Acts, Using defective equipment;Substandard Acts, Failure to check or monitor;Substandard Conditions, Inadequate ventilation;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Personal factors, Physical or physiological stress, Drugs;Personal factors, Lack of skill, Inadequate practice;Job or system factors, Inadequate leadership and/or supervision, Giving inadequate policy, procedure, practices or guidelines;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules;Job or system factors, Inadequate work standards, Inadequate communication of standards, Training","Human Factors, Inadequate Supervision, Standards and Procedures, Tools and Equipment",No pipeline interruption,Transmission,Maintenance,Employee / Contractor (Onsite),4/20/2018,No,No,Fire,NULL,NULL,NULL,No,NULL,Equipment & Electrical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,No,No,Yes,No,Agricultural Cropland,10 or fewer dwelling units,MP129.9235,Level I,Standard Review - 168 days,No,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2015-025,Fire,3/6/2015,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.4837281,Not Applicable,Not Applicable,Not Applicable,No,2015,2015/03/05 02:45:00 PM Central,2015/03/05 02:45:00 PM Central,"Substandard Acts, Improper placement",Incorrect Operation,"Personal factors, Lack of knowledge, Lack of experience;Personal factors, Lack of knowledge, Inadequate initial training;Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training","Human Factors, Inadequate Supervision",No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),4/20/2018,No,No,Fire,NULL,NULL,NULL,No,NULL,Equipment & Electrical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,OPR,NULL,NULL,NULL,NULL,NULL,Valve,NULL,NULL,Canada,No,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,NULL,Level I,Standard Review - 168 days,No,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
INC2015-026,Release of Substance,3/9/2015,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.573,2,Contaminated Water,Miscellaneous,No,2015,2015/03/09 09:30:00 AM Mountain,2015/03/09 12:00:00 PM Mountain,"Substandard Acts, Failure to communicate or coordinate",Incorrect Operation,"Job or system factors, Inadequate work standards, Inadequate development of standards, Coordination with process design",Standards and Procedures,No pipeline interruption,Processing,Maintenance,Employee / Contractor (Onsite),8/24/2017,Yes,No,Release of Substance,Contaminated Water,2,No,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,PPR,Grizzly Pipeline,"273.10000000, 508.00000000, 610.00000000",160.6451852,"Natural Gas Sour, Natural Gas Sweet",NULL,NULL,NULL,NULL,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,NULL,Level I,Standard Review - 168 days,No,NULL,"Processing Plant, Sweetening (desulfurization)",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,NULL,No,No,NULL,NULL,No
